Course Number,Course Name,L,T,P,C,Name of the Instructors and Tutors,Capacity,Number of Students,Sections,Lecture,Tutorial,Lab,Link To Course Plan,Preferred Knowledge Equivalent to,Remarks,Minor in,HSS/BS elective
ME 362,Introduction to Manufacturing Systems and Metrology ,2,0,1.5,3,Rakesh Singhai(I+L),,,,"E1,E2
(Harsha Patel Learning Theatre)",,"L2
(Harsha Patel Learning Theatre)",,,,,
HS XXX,HSS Elective,,,,,,,,,,,,,,,,
IN 105,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
7th Sem | B Tech Mechanical Engineering,,,,,,,,,,,,,,,,,
HS XXX,HSS Elective,,,,,,,,,,,,,,,,
,Basic Science Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
IN 107,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
5th Sem | B Tech Materials Engineering,,,,,,,,,,,,,,,,,
HS 151,Economics,3,1,0,4,"Deepak Singhania(I),Praharsh Mohanlal Patel(T)",,,,"A1,A2
(Jasubhai Auditorium)","I2
(Jasubhai Auditorium,7/101,7/102,7/103,7/105,7/107,7/110,7/201,7/204,7/205)",,https://drive.google.com/file/d/1rHrc62tPltvkY5TUoBjNl3fV_2tuz-SC/view?usp=sharing,,,,
MSE 313,"Polymers, Ceramics and Composites",3,0,1.5,4,Abhijit Mishra(I+L),,,,"E1,E2
(7/105)",,"K1
(MSE Lab)",,,,,
MSE 304,Principles of Metal Extraction and Refining,3,0,0,4,S.P. Mehrotra(I),,,,"J1,J2
(11/204)",,,,,,,
MSE 317,Materials Processing,2,1,1.5,4,"Emila Panda(I+T+L),Pradipta Ghosh(I+T+L)",,,,"F1,F2
(11/206,7/104)","I2
(11/206,7/104)","I1
(MSE Lab)",,,,,
HS XXX,HSS Elective,,,,,,,,,,,,,,,,
IN 105,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
7th Sem | B Tech Materials Engineering,,,,,,,,,,,,,,,,,
HS XXX,HSS Elective,,,,,,,,,,,,,,,,
